Date,Chapter-1,Chapter-2,Chapter-3,Chapter-4,Chapter-5,Chapter-6,Chapter-7,Number-Figures
2018-08-12-00-05,0,0,0,0,0,0,0,0
2018-11-24-09-54,122,1421,2723,4134,394,725,34,8
2018-11-28-08-08,818,1421,2723,4134,394,725,34,9
2018-11-28-09-29,976,1421,2723,4134,394,725,34,10
2018-12-05-07-39,976,1421,2723,4134,394,1070,34,11
2019-03-16-17-13,1412,1442,2939,4163,440,1243,40,14
2019-03-21-20-53,1412,1481,2942,4166,440,1243,40,15
2019-03-21-21-33,1412,1486,2939,4166,440,1243,40,20
2019-03-23-11-44,1412,1481,3259,4165,645,1243,40,21
2019-03-23-21-09,1412,1528,3275,4208,645,1446,40,26
2019-03-30-22-43,1412,1528,3275,4208,645,1446,40,26
2019-04-04-10-45,1758,1531,3275,4208,645,1446,40,26
2019-04-07-21-53,2008,1601,3275,4208,645,1446,40,26
2019-04-08-09-52,2008,1720,3275,4208,645,1446,40,26
2019-04-10-18-25,2008,1720,3275,4208,645,1446,40,26
2019-04-10-18-28,2008,1550,3275,4208,645,1446,40,26
2019-04-14-20-08,2008,1380,1430,3275,4208,645,40,26
2019-04-14-20-10,2008,1380,1430,3275,4208,645,40,26
2019-04-17-15-53,2008,1380,1430,3402,4281,702,40,26
2019-05-15-16-54,2008,1380,1430,3402,4281,702,40,26
2019-05-23-17-42,2008,1377,2260,3402,4281,702,40,26
2019-05-25-19-20,2008,1377,2678,3402,4281,702,40,30
2019-05-25-22-05,2008,1377,2683,3402,4281,702,40,30
2019-05-26-22-19,2008,1377,3625,3402,4281,702,40,30
2019-05-27-17-27,2008,1377,3625,3704,4281,702,40,30
2019-05-29-08-26,2008,1377,3625,3708,4281,702,40,30
2019-05-30-09-10,2008,1377,3740,4873,4281,702,40,31
2019-05-31-19-44,2008,1377,3740,4873,4281,702,40,34
2019-06-03-08-37,2008,1377,3740,5192,4281,702,40,34
2019-06-03-16-23,2008,1377,3689,5495,4281,702,40,36
2019-06-07-15-10,2008,1741,3690,5718,4281,702,40,39
2019-06-09-20-27,2008,1755,3690,6284,4281,702,40,40
2019-06-10-11-16,2008,1755,3690,6367,4283,702,40,40
2019-06-10-14-33,2008,2770,3690,6367,4283,702,40,40
2019-06-10-18-22,2008,3222,3690,6367,4283,702,40,40
2019-06-11-20-50,2008,3222,4064,6367,4283,702,40,40
2019-06-13-18-21,2008,3709,4064,6473,4294,702,40,41
2019-06-15-14-05,2008,3709,4064,7351,4294,702,418,44
2019-06-16-03-18,2008,4369,4064,7351,4294,702,418,45
2019-06-17-10-39,2008,5437,4076,7256,4294,702,418,45
2019-06-17-16-04,2008,5437,4076,7394,4296,702,418,45
2019-06-18-19-58,2008,5424,4015,7394,4352,702,418,45
2019-06-18-19-59,2008,5424,4015,7394,4352,702,418,45
2019-06-18-23-43,2008,5424,4010,7395,4610,702,418,46
2019-06-19-22-07,2008,5424,4010,7395,4255,702,418,48
2019-06-23-08-58,2040,5424,4039,7423,5351,1702,418,50
2019-06-23-11-34,2117,5424,4039,7519,5351,1702,418,50
2019-06-24-19-59,2117,5424,4039,7519,5351,1702,418,51
2019-06-25-09-38,2117,5424,4039,7519,5351,1702,418,51
2019-06-25-14-53,2173,5441,4043,7521,5352,1704,418,51
2019-06-25-17-02,2173,5506,4043,7521,5352,1704,418,51
2019-06-25-18-13,2173,5508,4043,7521,5352,1704,418,51
2019-06-26-11-48,2180,5508,4108,7402,5352,1713,418,53
2019-06-26-12-30,2180,5508,4108,6961,5352,1713,803,53
2019-06-26-14-10,2179,5508,4108,7116,5352,1713,803,53
2019-06-26-14-53,2179,5508,4108,7272,5353,1713,803,53
2019-06-29-22-02,2254,5577,4282,7278,5384,1955,817,56
2019-06-30-02-38,2254,5561,4283,7278,5384,2294,1024,56
2019-07-01-04-40,2281,5785,4857,7107,5397,2294,1306,56
2019-07-01-15-39,2277,5948,4854,7103,5481,2312,1308,57
2019-07-02-12-35,2277,5948,4854,7103,5481,2312,1308,57
2019-10-20-10-48,2277,5952,4852,7103,5481,2312,1308,57
2019-10-21-18-25,2345,6395,5096,7102,5471,2353,1308,57
2019-10-26-05-37,2527,6439,5396,7276,5471,2537,1308,61
